ID	LAST_SCAN_DATE	NAME	MONSTER_CLASS	POWER_LEVEL	TRAINER	MELEE_ATTACK	DEF_CRUSHING	DEF_SLASHING	DEF_PIERCING	DEF_FIRE	DEF_COLD	DEF_ELEC	DEF_WIND	DEF_HOLY	DEF_DARK	DEF_SOUL	DEF_VOID	DEBUFFS_AFFECTED
16	2020-10-10T14:45:42.130Z	Manbearpig	RARE			SLASHING	25	25	25	-1	40	40	40	75	75			IMPERILED
17	2020-10-10T14:45:44.132Z	White Bunneh	RARE			PIERCING	25	25	25	40	-1	15	40	75	75			IMPERILED
18	2020-10-10T18:04:00.368Z	Mithra	RARE			SLASHING	25	25	25	75	75	75	75	-1	75			
19	2020-10-10T14:45:42.532Z	Dalek	RARE			PIERCING	25	25	25	40	40	-1	40	75	75			IMPERILED
20	2020-11-08T21:54:07.988Z	Konata	LEGENDARY			CRUSHING	25	25	25	35	35	35	-1	75	75			TURBULENT_AIR, IMPERILED
21	2020-11-08T21:54:28.054Z	Mikuru Asahina	LEGENDARY			PIERCING	50	50	-1	35	35	35	35	-1	-1			IMPERILED
22	2020-11-08T21:52:34.218Z	Ryouko Asakura	LEGENDARY			SLASHING	50	-1	50	35	35	35	35	-1	-1			IMPERILED
23	2020-11-08T21:56:49.702Z	Yuki Nagato	LEGENDARY			CRUSHING	-1	50	50	35	35	35	35	-1	-1			IMPERILED
27	2020-10-22T00:53:46.929Z	Skuld	ULTIMATE			CRUSHING	25	25	25	35	35	-1	35	75	55			IMPERILED
28	2020-10-22T00:53:46.446Z	Urd	ULTIMATE			PIERCING	25	25	25	35	-1	35	35	75	55			IMPERILED
29	2020-10-22T00:53:47.789Z	Verdandi	ULTIMATE			SLASHING	25	25	25	35	35	10	-1	75	55			TURBULENT_AIR, IMPERILED
30	2020-10-22T00:53:47.380Z	Yggdrasil	ULTIMATE			VOID	25	25	25	-1	35	35	35	75	55			IMPERILED
32	2020-10-12T00:22:05.668Z	Flying Spaghetti Monster	ULTIMATE			DARK	50	50	50	60	60	60	60	-1	95			IMPERILED
1231	2020-10-10T21:40:47.944Z	Holy Bell	CELESTIAL	1698	hgbdd	CRUSHING	-25	-25	-25	33	33	8	33	68	25			TURBULENT_AIR, IMPERILED
1235	2020-11-09T04:53:43.032Z	Wasabi	CELESTIAL	1839	Sushilicious	SLASHING	-25	-25	-25	30	30	30	30	70	28			IMPERILED
1444	2020-11-09T13:59:32.109Z	Dragon Roll	DRAGONKIN	1839	Sushilicious	CRUSHING	25	25	0	30	0	30	2	56	56			TURBULENT_AIR, IMPERILED
1445	2020-10-10T11:33:21.453Z	Unagi	REPTILIAN	1839	Sushilicious	PIERCING	25	25	0	35	0	10	21	56	56			TURBULENT_AIR, IMPERILED
1446	2020-11-09T04:53:14.445Z	California Roll	ARTHROPOD	1839	Sushilicious	PIERCING	-25	25	0	30	2	30	30	56	56			IMPERILED
1469	2020-10-11T16:52:16.084Z	Puff The Magic Dragon	DRAGONKIN	1689	gamagaeru	PIERCING	25	25	0	30	0	30	0	50	50			IMPERILED
3009	2020-10-17T21:53:30.701Z	Megaplayboy	HUMANOID	1590	megaplayboy	PIERCING	0	0	0	17	17	17	17	52	18			IMPERILED
