ID	LAST_SCAN_DATE	NAME	MONSTER_CLASS	POWER_LEVEL	TRAINER	MELEE_ATTACK	DEF_CRUSHING	DEF_SLASHING	DEF_PIERCING	DEF_FIRE	DEF_COLD	DEF_ELEC	DEF_WIND	DEF_HOLY	DEF_DARK	DEF_SOUL	DEF_VOID	DEBUFFS_AFFECTED
16	2020-10-10T14:45:42.130Z	Manbearpig	RARE			SLASHING	25	25	25	-1	40	40	40	75	75			IMPERILED
17	2020-10-10T14:45:44.132Z	White Bunneh	RARE			PIERCING	25	25	25	40	-1	15	40	75	75			IMPERILED
18	2020-10-10T18:04:00.368Z	Mithra	RARE			SLASHING	25	25	25	75	75	75	75	-1	75			
19	2020-10-10T14:45:42.532Z	Dalek	RARE			PIERCING	25	25	25	40	40	-1	40	75	75			IMPERILED
20	2020-10-09T21:42:15.094Z	Konata	LEGENDARY			CRUSHING	25	25	25	40	40	15	-1	75	75			TURBULENT_AIR, IMPERILED
21	2020-10-09T21:44:04.881Z	Mikuru Asahina	LEGENDARY			PIERCING	50	50	-1	75	75	75	75	-1	-1			
22	2020-10-09T21:41:28.242Z	Ryouko Asakura	LEGENDARY			SLASHING	50	-1	50	40	40	40	40	-1	-1			IMPERILED
23	2020-10-09T21:41:03.464Z	Yuki Nagato	LEGENDARY			CRUSHING	-1	50	50	40	40	40	40	-1	-1			IMPERILED
32	2020-10-12T00:22:05.668Z	Flying Spaghetti Monster	ULTIMATE			DARK	50	50	50	60	60	60	60	-1	95			IMPERILED
1231	2020-10-10T21:40:47.944Z	Holy Bell	CELESTIAL	1698	hgbdd	CRUSHING	-25	-25	-25	33	33	8	33	68	25			TURBULENT_AIR, IMPERILED
1235	2020-10-09T21:35:39.120Z	Wasabi	CELESTIAL	1839	Sushilicious	SLASHING	-25	-25	-25	35	35	35	35	70	28			IMPERILED
1444	2020-10-10T11:46:08.753Z	Dragon Roll	DRAGONKIN	1839	Sushilicious	CRUSHING	25	25	0	70	28	70	42	56	56			
1445	2020-10-10T11:33:21.453Z	Unagi	REPTILIAN	1839	Sushilicious	PIERCING	25	25	0	35	0	10	21	56	56			TURBULENT_AIR, IMPERILED
1446	2020-10-09T22:26:14.431Z	California Roll	ARTHROPOD	1839	Sushilicious	PIERCING	-25	25	0	70	42	70	70	56	56			
1469	2020-10-11T16:52:16.084Z	Puff The Magic Dragon	DRAGONKIN	1689	gamagaeru	PIERCING	25	25	0	30	0	30	0	50	50			IMPERILED
3339	2020-10-10T13:49:13.598Z	Tifa Lockhart	HUMANOID	2250	LTF	CRUSHING	0	0	0	62	62	37	62	62	50			TURBULENT_AIR
3647	2020-10-10T10:56:04.651Z	Liselotte Werckmeister	HUMANOID	2250	Ichy	SLASHING	0	0	0	27	27	27	27	62	50			IMPERILED
3648	2020-10-12T16:41:12.241Z	Ichy	ELEMENTAL	1623	Ichy	ELEC	-25	0	-25	33	32	8	32	68	68			TURBULENT_AIR, IMPERILED
3748	2020-10-09T22:27:17.392Z	Chopsticks	MECHANOID	1839	Sushilicious	PIERCING	0	25	25	35	35	0	35	70	56			IMPERILED
3755	2020-10-09T21:40:13.542Z	Raw-tuna	ELEMENTAL	1839	Sushilicious	WIND	-25	0	-25	35	35	35	35	70	70			IMPERILED
